index,division,state,name,surname,party,colour,note
ADEL,Adelaide,SA,Steve,GEORGANAS,ALP,#ed0011,
ASTN,Aston,VIC,Mary,DOYLE,ALP,#ed0011,
BASS,Bass,TAS,Jess,TEESDALE,ALP,#ed0011,
BDGO,Bendigo,VIC,Lisa,CHESTERS,ALP,#ed0011,
BEAN,Bean,ACT,David,SMITH,ALP,#ed0011,
BFLD,Bradfield,NSW,Nicolette,BOELE,IND,#9c9c9c,
BLAR,Blair,QLD,Shayne,NEUMANN,ALP,#ed0011,
BLRT,Ballarat,VIC,Catherine,KING,ALP,#ed0011,
BLWK,Bullwinkel,WA,Trish,COOK,ALP,#ed0011,
BNKS,Banks,NSW,Zhi,SOON,ALP,#ed0011,
BNLG,Bennelong,NSW,Jerome,LAXALE,ALP,#ed0011,
BNNR,Bonner,QLD,Kara,COOK,ALP,#ed0011,
BRCE,Bruce,VIC,Julian,HILL,ALP,#ed0011,
BRDN,Braddon,TAS,Anne,URQUHART,ALP,#ed0011,
BRIS,Brisbane,QLD,Madonna,JARRETT,ALP,#ed0011,
BRKR,Barker,SA,Tony,PASIN,LIB,#083cdd,
BRND,Brand,WA,Madeleine,KING,ALP,#ed0011,
BRTN,Barton,NSW,Ash,AMBIHAIPAHAR,ALP,#ed0011,
BRWA,Berowra,NSW,Julian,LEESER,LIB,#083cdd,
BTHY,Boothby,SA,Louise,MILLER-FROST,ALP,#ed0011,
BURT,Burt,WA,Matt,KEOGH,ALP,#ed0011,
BWMN,Bowman,QLD,Henry,PIKE,LNP,#1983f7,
BXLD,Blaxland,NSW,Jason,CLARE,ALP,#ed0011,
CASY,Casey,VIC,Aaron,VIOLI,LIB,#083cdd,
CBRA,Canberra,ACT,Alicia,PAYNE,ALP,#ed0011,
CGHM,Cunningham,NSW,Alison,BYRNES,ALP,#ed0011,
CGMT,Corangamite,VIC,Libby,COKER,ALP,#ed0011,
CHFY,Chifley,NSW,Ed,HUSIC,ALP,#ed0011,
CHSM,Chisholm,VIC,Carina,GARLAND,ALP,#ed0011,
CLRE,Calare,NSW,Andrew,GEE,IND,#9c9c9c,
CLRK,Clark,TAS,Andrew,WILKIE,IND,#9c9c9c,
CLWL,Calwell,VIC,Basem,ABDO,ALP,#ed0011,
CNNG,Canning,WA,Andrew,HASTIE,LIB,#083cdd,
COOK,Cook,NSW,Simon,KENNEDY,LIB,#083cdd,
COWN,Cowan,WA,Anne,ALY,ALP,#ed0011,
CPCN,Capricornia,QLD,Michelle,LANDRY,LNP,#1983f7,
CPER,Cooper,VIC,Ged,KEARNEY,ALP,#ed0011,
CRIO,Corio,VIC,Richard,MARLES,ALP,#ed0011,
CRTN,Curtin,WA,Kate,CHANEY,IND,#9c9c9c,
CWPR,Cowper,NSW,Pat,CONAGHAN,NAT,#008033,
DBLL,Dobell,NSW,Emma,McBRIDE,ALP,#ed0011,
DEKN,Deakin,VIC,Matt,GREGG,ALP,#ed0011,
DKLY,Dunkley,VIC,Jodie,BELYEA,ALP,#ed0011,
DKSN,Dickson,QLD,Ali,FRANCE,ALP,#ed0011,
DRAK,Durack,WA,Melissa,PRICE,LIB,#083cdd,
DWSN,Dawson,QLD,Andrew,WILLCOX,LNP,#1983f7,
EDMO,Eden-Monaro,NSW,Kristy,McBAIN,ALP,#ed0011,
FDDN,Fadden,QLD,Cameron,CALDWELL,LNP,#1983f7,
FFAX,Fairfax,QLD,Ted,O'BRIEN,LNP,#1983f7,
FKLN,Franklin,TAS,Julie,COLLINS,ALP,#ed0011,
FLND,Flinders,VIC,Zoe,McKENZIE,LIB,#083cdd,
FLYN,Flynn,QLD,Colin,BOYCE,LNP,#1983f7,
FNNR,Fenner,ACT,Andrew,LEIGH,ALP,#ed0011,
FRDE,Forde,QLD,Rowan,HOLZBERGER,ALP,#ed0011,
FREM,Fremantle,WA,Josh,WILSON,ALP,#ed0011,
FRRR,Farrer,NSW,Sussan,LEY,LIB,#083cdd,
FRSR,Fraser,VIC,Daniel,MULINO,ALP,#ed0011,
FRST,Forrest,WA,Ben,SMALL,LIB,#083cdd,
FSHR,Fisher,QLD,Andrew,WALLACE,LNP,#1983f7,
FWLR,Fowler,NSW,Dai,LE,IND,#9c9c9c,
GFTH,Griffith,QLD,Renee,COFFEY,ALP,#ed0011,
GLBD,Gellibrand,VIC,Tim,WATTS,ALP,#ed0011,
GLMR,Gilmore,NSW,Fiona,PHILLIPS,ALP,#ed0011,
GPSL,Gippsland,VIC,Darren,CHESTER,NAT,#008033,
GREY,Grey,SA,Tom,VENNING,LIB,#083cdd,
GROO,Groom,QLD,Garth,HAMILTON,LNP,#1983f7,
GRTN,Gorton,VIC,Alice,JORDAN-BAIRD,ALP,#ed0011,
GRWY,Greenway,NSW,Michelle,ROWLAND,ALP,#ed0011,
GSTN,Goldstein,VIC,Tim,WILSON,LIB,#083cdd,
GYDL,Grayndler,NSW,Anthony,ALBANESE,ALP,#ed0011,
HGHS,Hughes,NSW,David,MONCRIEFF,ALP,#ed0011,
