index,name,surname,party,colour,linked,note
ADEL,Steve,GEORGANAS,ALP,#ed0011,TRUE,
ASTN,Alan,TUDGE,LIB,#083cdd,,RETIREMENT: 17 Feb 2023. | BY-ELECTION: 1 Apr 2023. Won by Mary DOYLE (ALP)
BASS,Bridget,ARCHER,LIB,#083cdd,TRUE,
BDGO,Lisa,CHESTERS,ALP,#ed0011,TRUE,
BEAN,David,SMITH,ALP,#ed0011,,
BFLD,Paul,FLETCHER,LIB,#083cdd,,
BLAR,Shayne,NEUMANN,ALP,#ed0011,,
BLRT,Catherine,KING,ALP,#ed0011,TRUE,
BLXD,Jason,CLARE,ALP,#ed0011,,
BNKS,David,COLEMAN,LIB,#083cdd,FALSE,
BNLG,Jerome,LAXALE,ALP,#ed0011,,
BNNR,Ross,VASTA,LNP,#1983f7,,
BRCE,Julian,HILL,ALP,#ed0011,,
BRDN,Gavin,PEARCE,LIB,#083cdd,,
BRIS,Stephen,BATES,GRN,#64d915,TRUE,
BRKR,Tony,PASIN,LIB,#083cdd,FALSE,
BRND,Madeleine,KING,ALP,#ed0011,,
BRTN,Linda,BURNEY,ALP,#ed0011,,
BRWA,Julian,LEESER,LIB,#083cdd,TRUE,
BTHY,Louise,MILLER-FROST,ALP,#ed0011,,
BURT,Matt,KEOGH,ALP,#ed0011,,
BWMN,Henry,PIKE,LNP,#1983f7,,
CANB,Alicia,PAYNE,ALP,#ed0011,TRUE,
CGHM,Alison,BYRNES,ALP,#ed0011,,
CGMT,Libby,COKER,ALP,#ed0011,FALSE,
CHFY,Ed,HUSIC,ALP,#ed0011,,
CHSM,Carina,GARLAND,ALP,#ed0011,,
CLRE,Andrew,GEE,NAT,#008033,FALSE,RESIGNATION: 23 Dec 2022. GEE resigned from NAT; sat as IND
CLRK,Andrew,WILKIE,IND,#9c9c9c,,
CLWL,Maria,VAMVAKINOU,ALP,#ed0011,,
CNNG,Andrew,HASTIE,LIB,#083cdd,FALSE,
