SA1_CODE_DIV,SA1_CODE,SA2_CODE,SA2_NAME,DIVISION,ACTUAL,PROJECTED
80101100101-CAN,80101100101,801011001,Aranda,Canberra,195,192
80101100102-CAN,80101100102,801011001,Aranda,Canberra,274,254
80101100103-CAN,80101100103,801011001,Aranda,Canberra,234,251
80101100104-CAN,80101100104,801011001,Aranda,Canberra,359,358
80101100105-CAN,80101100105,801011001,Aranda,Canberra,428,406
80101100106-CAN,80101100106,801011001,Aranda,Canberra,333,330
80101100201-FEN,80101100201,801011002,Belconnen,Fenner,284,288
80101100202-FEN,80101100202,801011002,Belconnen,Fenner,200,203
80101100203-FEN,80101100203,801011002,Belconnen,Fenner,354,371
80101100205-FEN,80101100205,801011002,Belconnen,Fenner,0,0
80101100208-FEN,80101100208,801011002,Belconnen,Fenner,278,291
80101100209-FEN,80101100209,801011002,Belconnen,Fenner,164,166
80101100210-FEN,80101100210,801011002,Belconnen,Fenner,236,221
80101100211-FEN,80101100211,801011002,Belconnen,Fenner,332,350
80101100212-FEN,80101100212,801011002,Belconnen,Fenner,394,419
80101100213-FEN,80101100213,801011002,Belconnen,Fenner,13,14
80101100215-FEN,80101100215,801011002,Belconnen,Fenner,228,241
80101100216-FEN,80101100216,801011002,Belconnen,Fenner,658,718
80101100217-FEN,80101100217,801011002,Belconnen,Fenner,189,190
80101100218-FEN,80101100218,801011002,Belconnen,Fenner,277,309
80101100219-FEN,80101100219,801011002,Belconnen,Fenner,213,220
80101100220-FEN,80101100220,801011002,Belconnen,Fenner,143,143
80101100221-FEN,80101100221,801011002,Belconnen,Fenner,176,267
80101100222-FEN,80101100222,801011002,Belconnen,Fenner,315,314
80101100223-FEN,80101100223,801011002,Belconnen,Fenner,2,2
80101100224-FEN,80101100224,801011002,Belconnen,Fenner,27,29
80101100225-FEN,80101100225,801011002,Belconnen,Fenner,208,209
80101100301-CAN,80101100301,801011003,Bruce,Canberra,201,203
80101100304-CAN,80101100304,801011003,Bruce,Canberra,657,726
80101100306-CAN,80101100306,801011003,Bruce,Canberra,262,246
80101100307-CAN,80101100307,801011003,Bruce,Canberra,129,144
