index,division,state,namesake,created,abolished,isfed,ispm,iscol,isfem,isind,isgeo,isaus,islinked
ADEL,Adelaide,South Australia,"City of Adelaide / Tarndanya, Kaurna Country",02/10/1903,,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A,TRUE
ASTN,Aston,Victoria,"Matilda ""Tilly"" Ann Aston, 1873–1947",14/09/1984,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,N/A
BLRT,Ballarat,Victoria,"City of Ballarat / balla arat, Wathawurrung Country",07/11/1977,,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A,TRUE
BNKS,Banks,New South Wales,"Sir Joseph Banks 1st Baronet GCB FRS, 1743–1820",11/05/1949,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
BRKR,Barker,South Australia,"Capt Collet Barker, 1784–1831",02/10/1903,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
BRTN,Barton,New South Wales,"Rt Hon Sir Edmund Barton GCMG KC, 1849–1920",13/09/1922,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
BASS,Bass,Tasmania,"George Bass, 1771–1803",02/10/1903,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
BEAN,Bean,Australian Capital Territory,"Charles Edwin Woodrow Bean, 1879–1968",13/07/2018,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
BDGO,Bendigo,Victoria,"City of Bendigo, Dja Dja Wurrung Country",08/10/1900,,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,TRUE
BNLG,Bennelong,New South Wales,"Woollarawarre Bennelong, c. 1764–1813",11/05/1949,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,N/A
BRWA,Berowra,New South Wales,"Berowra Creek / Perrara, Dharug Country",21/11/1968,,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A,TRUE
BLAR,Blair,Queensland,"Harold Blair AM, 1924–76",10/12/1997,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,N/A
BLXD,Blaxland,New South Wales,"Gregory Blaxland, 1778–1853",11/05/1949,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,N/A
BNNR,Bonner,Queensland,"Neville Thomas Bonner AO, 1922–99",25/11/2003,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,N/A
BTHY,Boothby,South Australia,"William Robinson Boothby CMG, 1829–1903",02/10/1903,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,N/A
BWMN,Bowman,Queensland,"David Bowman, 1860–1916",11/05/1949,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,N/A
BRDN,Braddon,Tasmania,"Rt Hon Sir Edward Nicholas Coventry Braddon KCMG, 1829–1904",30/08/1955,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,N/A
BFLD,Bradfield,New South Wales,"Dr John Job Crew Bradfield CMG, 1867–1943",11/05/1949,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
BRND,Brand,Western Australia,"The Hon Sir David Brand KCMG, 1912–79",31/08/1984,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
BRIS,Brisbane,Queensland,"City of Brisbane / Meanjin, Turrbal & Yuggera Country",28/12/1900,,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,TRUE
BRCE,Bruce,Victoria,"Rt Hon Stanley Melbourne Bruce 1st Viscount Bruce of Melbourne CH MC PC FRS, 1883–1967",10/08/1955,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
BLWK,Bullwinkel,Western Australia,"Lt Col Vivian Statham (née Bullwinkel) AO MBE ARRC ED FNM FRCNA, 1915–2000",24/09/2024,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,N/A
BURT,Burt,Western Australia,"Sir Archibald Paull Burt KT QC, 1810–79; The Hon Septimus Burt KC, 1847–1919; The Hon Sir Francis Theodore Page Burt AC KCMG QC, 1918–2004",19/01/2016,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
CLRE,Calare,New South Wales,"Lachlan River / Kalari, Wiradjuri Country",13/07/1906,,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A,FALSE
CLWL,Calwell,Victoria,"Rt Hon Arthur Augustus Calwell KC, 1896–1973",14/09/1984,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
CANB,Canberra,Australian Capital Territory,"City of Canberra / Kanbarra, Ngunnawal & Ngambri Country",19/04/1974,,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A,TRUE
CNNG,Canning,Western Australia,"Alfred Wernam Canning, 1860–1936; Sadie Miriam Canning MBE, 1930–2008",11/05/1949,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
CPCA,Capricornia,Queensland,"Tropic of Capricorn, 23°26′ S",28/12/1900,,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,TRUE
CSEY,Casey,Victoria,"Rt Hon Richard Gavin Gardiner Casey 1st Baron Casey of Berwick KG GCMG CH DSO MC PC, 1890–1976",21/11/1968,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
CHFY,Chifley,New South Wales,"Rt Hon Joseph Benedict Chifley, 1885–1951",21/11/1968,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
CHSM,Chisholm,Victoria,"Caroline Chisholm, 1808–77",11/05/1949,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,N/A
CLRK,Clark,Tasmania,"The Hon Andrew Inglis Clark, 1848–1907",14/11/2017,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
COOK,Cook,New South Wales,"Capt James Cook RN FRS, 1728–79; Rt Hon Sir Joseph Cook GCMG, 1860–1947",21/11/1968,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
CPER,Cooper,Victoria,"William Cooper, 1861–1941",13/07/2018,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,N/A
CGMT,Corangamite,Victoria,"Lake Corangamite / Kronimite, Gulidjan and Djargurd Wurrong Country",08/10/1900,,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,FALSE
CRIO,Corio,Victoria,"Corio Bay / Corayo, Wadawurrung Country",08/10/1900,,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,TRUE
COWN,Cowan,Western Australia,"Edith Dircksey Cowan OBE, 1861–1932",31/08/1984,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,N/A
CWPR,Cowper,New South Wales,"Sir Charles Cowper KCMG, 1807–75",11/12/1900,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,N/A
CGHM,Cunningham,New South Wales,"Allan Cunningham, 1791–1839",11/05/1949,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,N/A
CRTN,Curtin,Western Australia,"Rt Hon John Curtin, 1885–1945",11/05/1949,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
DWSN,Dawson,Queensland,"The Hon Andrew ""Anderson"" Dawson, 1863–1910",11/05/1949,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,N/A
DEKN,Deakin,Victoria,"The Hon Alfred Deakin, 1856–1919",21/07/1937,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
DKSN,Dickson,Queensland,"The Hon Sir James Robert Dickson KCMG FRGS, 1832–1901",28/01/1992,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,N/A
DBLL,Dobell,New South Wales,"Sir William Dobell OBE kb, 1899–1970",11/10/1984,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
DKLY,Dunkley,Victoria,"Louisa Margaret Dunkley, 1866–1927",14/09/1984,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,N/A
DRAK,Durack,Western Australia,"Patrick Durack, 1834–98; Michael Patrick Durack, 1865–1950; Dame Mary Gertrude Durack AC DBE, 1913–94; Elizabeth Durack Clancy CMG OBE, 1915–2000; Kimberley Michael Durack, 1917–1968; The Hon Peter Drew Durack QC, 1926–2008",18/12/2008,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,N/A
EDMO,Eden-Monaro,New South Wales,"Town of Eden, Thawa Country; Monaro region / Maneroo, Ngarigo Country",11/12/1900,,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,TRUE
FDDN,Fadden,Queensland,"Rt Hon Sir Arthur William Fadden GCMG, 1895–1973",01/11/1977,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
FFAX,Fairfax,Queensland,"Ruth Beatrice Fairfax OBE, 1878–1948",13/09/1984,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,N/A
FRRR,Farrer,New South Wales,"William James Farrer, 1845–1906",11/05/1949,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
FNNR,Fenner,Australian Capital Territory,"Prof Frank John Fenner AC CMG MBE FAA FRS FRACP FRCP, 1914–2010",13/07/2018,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
FSHR,Fisher,Queensland,"Rt Hon Andrew Fisher, 1862–1928",11/05/1949,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
FLND,Flinders,Victoria,"Capt Matthew Flinders RN, 1774–1814",08/10/1900,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FLYN,Flynn,Queensland,Rev John Flynn OBE 1880–1951,22/11/2006,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
FRDE,Forde,Queensland,"Rt Hon Francis Michael Forde, 1890–1983",13/09/1984,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
FRST,Forrest,Western Australia,"Rt Hon Sir John Forrest GCMC, 1847–1918",13/09/1922,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,N/A
FWLR,Fowler,New South Wales,"Elizabeth Lilian Maud Fowler MBE JP, 1887–1954",11/10/1984,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,N/A
FKLN,Franklin,Tasmania,"RAdm Sir John Franklin KCH FRS FLS FRGS kb, 1786–1847",02/10/1903,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FRSR,Fraser,Victoria,"Rt Hon John Malcom Fraser AC CH GCL, 1930–2015",13/07/2018,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
FREM,Fremantle,Western Australia,"City of Fremantle / Walyalup, Nyungar Country",05/12/1900,,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,TRUE
GLBD,Gellibrand,Victoria,Joseph Tice Gellibrand 1786–1836,11/05/1949,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
GLMR,Gilmore,New South Wales,"Dame Mary Jean Gilmore DBE, 1865–1962",11/10/1984,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,N/A
GIPP,Gippsland,Victoria,"Gippsland region / Gunaikurnai, Gunaikurnai Country",08/10/1900,,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,TRUE
GDST,Goldstein,Victoria,"Vida Jane Mary Goldstein, 1869–1949",14/09/1984,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,N/A
GRTN,Gorton,Victoria,"Rt Hon Sir John Grey Gorton AC GCMG CH, 1911-2002",29/01/2003,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
GYDL,Grayndler,New South Wales,"The Hon Edward Grayndler OBE, 1867–1943",11/05/1949,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
GRWY,Greenway,New South Wales,"Francis Howard Greenway, 1777–1837",11/10/1984,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,N/A
GREY,Grey,South Australia,"Rt Hon Sir George Grey KCB, 1812–98",02/10/1903,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,N/A
GRFF,Griffith,Queensland,"Rt Hon Sir Samuel Walker Griffith GCMG KC, 1845–1920",01/08/1934,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
GROO,Groom,Queensland,"Sir Littleton Ernest Groom KCMG KC, 1867–1936",13/09/1984,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
HSLK,Hasluck,Western Australia,"Rt Hon Sir Paul Meernaa Caedwalla Hasluck KG GCMG GCVO, 1905–93; Dame Alexandra Margaret Martin Hasluck AD, 1908–93",20/11/2000,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,N/A
HWKE,Hawke,Victoria,"The Hon Robert James Lee Hawke AC GCL, 1929–2019",01/01/2021,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
HRBT,Herbert,Queensland,"The Hon Sir Robert George Wyndham Herbert GCB, 1831–1905",28/12/1900,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
HMSH,Hindmarsh,South Australia,"RAdm Sir John Hindmarsh KH kb, 1786–1860",02/10/1903,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
HKLR,Hinkler,Queensland,"Lt Herbert ""Bert"" John Louis Hinkler AFC DSM, 1892–1933",13/09/1984,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
HOLT,Holt,Victoria,"Rt Hon Harold Edward Holt CH, 1908–1967",21/11/1968,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
HTHM,Hotham,Victoria,"Capt Sir Charles Hotham KCB, 1806–55",21/11/1968,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,N/A
HGHS,Hughes,New South Wales,"Rt Hon William Morris Hughes CH QC, 1862–1952",30/08/1955,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
HUME,Hume,New South Wales,"Hamilton Hume, 1797–1873",11/12/1900,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
HNTR,Hunter,New South Wales,"Hunter River / Coquun, Wonnarua & Awabakal Country",11/12/1900,,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,TRUE
INDI,Indi,Victoria,"Indi / Murray River, Jaithmathang Country",08/10/1900,,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,TRUE
ISAC,Isaacs,Victoria,"Rt Hon Sir Isaac Alfred Isaacs GCB GCMG KC, 1855–1948",21/11/1968,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
JAGA,Jagajaga,Victoria,"Jaga Jaga Billibellary, c. 1799–1846",14/09/1984,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,N/A
KNDY,Kennedy,Queensland,"Edmund Besley Court Kennedy JP, 1818–48",28/12/1900,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,N/A
KFDS,Kingsford Smith,New South Wales,"Air Cdre Sir Charles Edward Kingsford Smith MC AFC kb, 1897–1935",11/05/1949,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
KSTN,Kingston,South Australia,"Rt Hon Charles Cameron Kingston, 1850–1908",11/05/1949,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
