SA1_CODE_DIV,DIVISION,SA2_CODE,SA2_NAME,SA1_CODE,SA1_7_CODE,ACTUAL,PROJECTED
30101100101-BOW,BOWMAN,301011001,Alexandra Hills,30101100101,3100101,322,316
30101100102-BOW,BOWMAN,301011001,Alexandra Hills,30101100102,3100102,225,223
30101100103-BOW,BOWMAN,301011001,Alexandra Hills,30101100103,3100103,450,471
30101100104-BOW,BOWMAN,301011001,Alexandra Hills,30101100104,3100104,298,302
30101100105-BOW,BOWMAN,301011001,Alexandra Hills,30101100105,3100105,159,164
30101100106-BOW,BOWMAN,301011001,Alexandra Hills,30101100106,3100106,193,196
30101100107-BOW,BOWMAN,301011001,Alexandra Hills,30101100107,3100107,180,179
30101100108-BOW,BOWMAN,301011001,Alexandra Hills,30101100108,3100108,314,302
30101100109-BOW,BOWMAN,301011001,Alexandra Hills,30101100109,3100109,348,353
30101100110-BOW,BOWMAN,301011001,Alexandra Hills,30101100110,3100110,306,303
30101100111-BOW,BOWMAN,301011001,Alexandra Hills,30101100111,3100111,386,382
30101100112-BOW,BOWMAN,301011001,Alexandra Hills,30101100112,3100112,191,198
30101100113-BOW,BOWMAN,301011001,Alexandra Hills,30101100113,3100113,215,222
30101100114-BOW,BOWMAN,301011001,Alexandra Hills,30101100114,3100114,364,364
30101100115-BOW,BOWMAN,301011001,Alexandra Hills,30101100115,3100115,342,346
30101100116-BOW,BOWMAN,301011001,Alexandra Hills,30101100116,3100116,405,403
30101100117-BOW,BOWMAN,301011001,Alexandra Hills,30101100117,3100117,447,467
30101100118-BOW,BOWMAN,301011001,Alexandra Hills,30101100118,3100118,376,375
30101100119-BOW,BOWMAN,301011001,Alexandra Hills,30101100119,3100119,323,323
30101100120-BOW,BOWMAN,301011001,Alexandra Hills,30101100120,3100120,208,200
30101100121-BOW,BOWMAN,301011001,Alexandra Hills,30101100121,3100121,353,348
30101100122-BOW,BOWMAN,301011001,Alexandra Hills,30101100122,3100122,281,278
30101100123-BOW,BOWMAN,301011001,Alexandra Hills,30101100123,3100123,370,377
30101100124-BOW,BOWMAN,301011001,Alexandra Hills,30101100124,3100124,177,184
30101100125-BOW,BOWMAN,301011001,Alexandra Hills,30101100125,3100125,220,229
30101100126-BOW,BOWMAN,301011001,Alexandra Hills,30101100126,3100126,258,253
30101100127-BOW,BOWMAN,301011001,Alexandra Hills,30101100127,3100127,188,185
30101100128-BOW,BOWMAN,301011001,Alexandra Hills,30101100128,3100128,307,303
30101100129-BOW,BOWMAN,301011001,Alexandra Hills,30101100129,3100129,281,285
30101100130-BOW,BOWMAN,301011001,Alexandra Hills,30101100130,3100130,402,401
30101100131-BOW,BOWMAN,301011001,Alexandra Hills,30101100131,3100131,296,292
30101100132-BOW,BOWMAN,301011001,Alexandra Hills,30101100132,3100132,132,131
30101100133-BOW,BOWMAN,301011001,Alexandra Hills,30101100133,3100133,322,314
30101100134-BOW,BOWMAN,301011001,Alexandra Hills,30101100134,3100134,241,233
30101100135-BOW,BOWMAN,301011001,Alexandra Hills,30101100135,3100135,251,258
30101100136-BOW,BOWMAN,301011001,Alexandra Hills,30101100136,3100136,311,313
30101100137-BOW,BOWMAN,301011001,Alexandra Hills,30101100137,3100137,218,217
30101100138-BOW,BOWMAN,301011001,Alexandra Hills,30101100138,3100138,176,172
30101100139-BOW,BOWMAN,301011001,Alexandra Hills,30101100139,3100139,313,327
30101100140-BOW,BOWMAN,301011001,Alexandra Hills,30101100140,3100140,347,351
30101100141-BOW,BOWMAN,301011001,Alexandra Hills,30101100141,3100141,290,308
30101100142-BOW,BOWMAN,301011001,Alexandra Hills,30101100142,3100142,259,264
30101100143-BOW,BOWMAN,301011001,Alexandra Hills,30101100143,3100143,0,0
30101100144-BOW,BOWMAN,301011001,Alexandra Hills,30101100144,3100144,0,0
30101100145-BOW,BOWMAN,301011001,Alexandra Hills,30101100145,3100145,293,289
30101100201-BON,BONNER,301011002,Belmont - Gumdale,30101100201,3100201,209,206
30101100202-BON,BONNER,301011002,Belmont - Gumdale,30101100202,3100202,322,315
30101100203-BON,BONNER,301011002,Belmont - Gumdale,30101100203,3100203,217,218
30101100204-BON,BONNER,301011002,Belmont - Gumdale,30101100204,3100204,416,433
30101100205-BON,BONNER,301011002,Belmont - Gumdale,30101100205,3100205,317,314
30101100206-BON,BONNER,301011002,Belmont - Gumdale,30101100206,3100206,413,424
30101100207-BON,BONNER,301011002,Belmont - Gumdale,30101100207,3100207,185,186
30101100208-BON,BONNER,301011002,Belmont - Gumdale,30101100208,3100208,219,227
30101100209-BON,BONNER,301011002,Belmont - Gumdale,30101100209,3100209,323,317
30101100210-BON,BONNER,301011002,Belmont - Gumdale,30101100210,3100210,290,311
30101100211-BON,BONNER,301011002,Belmont - Gumdale,30101100211,3100211,7,7
30101100212-BON,BONNER,301011002,Belmont - Gumdale,30101100212,3100212,188,180
30101100213-BON,BONNER,301011002,Belmont - Gumdale,30101100213,3100213,377,368
30101100214-BON,BONNER,301011002,Belmont - Gumdale,30101100214,3100214,165,162
30101100215-BON,BONNER,301011002,Belmont - Gumdale,30101100215,3100215,333,322
30101100216-BON,BONNER,301011002,Belmont - Gumdale,30101100216,3100216,258,252
30101100217-BON,BONNER,301011002,Belmont - Gumdale,30101100217,3100217,92,89
30101100218-BON,BONNER,301011002,Belmont - Gumdale,30101100218,3100218,238,229
30101100219-BON,BONNER,301011002,Belmont - Gumdale,30101100219,3100219,498,502
30101100220-BON,BONNER,301011002,Belmont - Gumdale,30101100220,3100220,219,223
30101100221-BON,BONNER,301011002,Belmont - Gumdale,30101100221,3100221,305,293
30101100301-BOW,BOWMAN,301011003,Birkdale,30101100301,3100301,305,295
30101100302-BOW,BOWMAN,301011003,Birkdale,30101100302,3100302,406,414
30101100303-BOW,BOWMAN,301011003,Birkdale,30101100303,3100303,368,370
30101100304-BOW,BOWMAN,301011003,Birkdale,30101100304,3100304,478,485
30101100305-BOW,BOWMAN,301011003,Birkdale,30101100305,3100305,356,368
30101100306-BOW,BOWMAN,301011003,Birkdale,30101100306,3100306,372,384
30101100307-BOW,BOWMAN,301011003,Birkdale,30101100307,3100307,475,478
30101100308-BOW,BOWMAN,301011003,Birkdale,30101100308,3100308,206,217
30101100309-BOW,BOWMAN,301011003,Birkdale,30101100309,3100309,214,214
30101100310-BOW,BOWMAN,301011003,Birkdale,30101100310,3100310,545,548
30101100311-BOW,BOWMAN,301011003,Birkdale,30101100311,3100311,364,383
30101100312-BOW,BOWMAN,301011003,Birkdale,30101100312,3100312,220,231
30101100313-BOW,BOWMAN,301011003,Birkdale,30101100313,3100313,360,369
30101100314-BOW,BOWMAN,301011003,Birkdale,30101100314,3100314,298,288
30101100315-BOW,BOWMAN,301011003,Birkdale,30101100315,3100315,288,305
30101100316-BOW,BOWMAN,301011003,Birkdale,30101100316,3100316,560,551
30101100317-BOW,BOWMAN,301011003,Birkdale,30101100317,3100317,395,420
30101100318-BOW,BOWMAN,301011003,Birkdale,30101100318,3100318,295,297
30101100319-BOW,BOWMAN,301011003,Birkdale,30101100319,3100319,352,364
30101100320-BOW,BOWMAN,301011003,Birkdale,30101100320,3100320,347,363
30101100321-BOW,BOWMAN,301011003,Birkdale,30101100321,3100321,404,403
30101100322-BOW,BOWMAN,301011003,Birkdale,30101100322,3100322,234,237
30101100323-BOW,BOWMAN,301011003,Birkdale,30101100323,3100323,397,392
30101100324-BOW,BOWMAN,301011003,Birkdale,30101100324,3100324,447,458
30101100325-BOW,BOWMAN,301011003,Birkdale,30101100325,3100325,444,444
30101100326-BOW,BOWMAN,301011003,Birkdale,30101100326,3100326,3,3
30101100327-BOW,BOWMAN,301011003,Birkdale,30101100327,3100327,17,16
30101100328-BOW,BOWMAN,301011003,Birkdale,30101100328,3100328,246,238
30101100329-BOW,BOWMAN,301011003,Birkdale,30101100329,3100329,272,265
30101100330-BOW,BOWMAN,301011003,Birkdale,30101100330,3100330,300,298
30101100331-BOW,BOWMAN,301011003,Birkdale,30101100331,3100331,242,257
30101100332-BOW,BOWMAN,301011003,Birkdale,30101100332,3100332,312,302
30101100333-BOW,BOWMAN,301011003,Birkdale,30101100333,3100333,205,209
30101100334-BOW,BOWMAN,301011003,Birkdale,30101100334,3100334,237,256
30101100335-BOW,BOWMAN,301011003,Birkdale,30101100335,3100335,507,514
30101100336-BOW,BOWMAN,301011003,Birkdale,30101100336,3100336,289,293
