SA1_CODE_DIV,SA1_CODE,SA2_CODE,SA2_NAME,DIVISION,ACTUAL,PROJECTED
60101100101-LYO,60101100101,601011001,Bridgewater - Gagebrook,Lyons,188,214
60101100102-LYO,60101100102,601011001,Bridgewater - Gagebrook,Lyons,256,267
60101100103-LYO,60101100103,601011001,Bridgewater - Gagebrook,Lyons,178,202
60101100104-LYO,60101100104,601011001,Bridgewater - Gagebrook,Lyons,141,148
60101100105-LYO,60101100105,601011001,Bridgewater - Gagebrook,Lyons,214,230
60101100106-LYO,60101100106,601011001,Bridgewater - Gagebrook,Lyons,225,244
60101100107-LYO,60101100107,601011001,Bridgewater - Gagebrook,Lyons,224,239
60101100108-LYO,60101100108,601011001,Bridgewater - Gagebrook,Lyons,258,268
60101100109-LYO,60101100109,601011001,Bridgewater - Gagebrook,Lyons,270,295
60101100110-LYO,60101100110,601011001,Bridgewater - Gagebrook,Lyons,214,237
60101100111-LYO,60101100111,601011001,Bridgewater - Gagebrook,Lyons,221,242
60101100112-LYO,60101100112,601011001,Bridgewater - Gagebrook,Lyons,299,342
60101100113-LYO,60101100113,601011001,Bridgewater - Gagebrook,Lyons,309,328
60101100114-LYO,60101100114,601011001,Bridgewater - Gagebrook,Lyons,325,384
60101100115-LYO,60101100115,601011001,Bridgewater - Gagebrook,Lyons,251,256
60101100116-LYO,60101100116,601011001,Bridgewater - Gagebrook,Lyons,183,206
60101100117-LYO,60101100117,601011001,Bridgewater - Gagebrook,Lyons,244,305
60101100118-LYO,60101100118,601011001,Bridgewater - Gagebrook,Lyons,357,376
60101100119-LYO,60101100119,601011001,Bridgewater - Gagebrook,Lyons,336,312
60101100120-LYO,60101100120,601011001,Bridgewater - Gagebrook,Lyons,433,471
60101100121-LYO,60101100121,601011001,Bridgewater - Gagebrook,Lyons,235,274
60101100122-LYO,60101100122,601011001,Bridgewater - Gagebrook,Lyons,338,363
60101100123-LYO,60101100123,601011001,Bridgewater - Gagebrook,Lyons,135,147
60101100201-LYO,60101100201,601011002,Brighton - Pontville,Lyons,406,476
60101100202-LYO,60101100202,601011002,Brighton - Pontville,Lyons,349,384
60101100203-LYO,60101100203,601011002,Brighton - Pontville,Lyons,289,339
60101100204-LYO,60101100204,601011002,Brighton - Pontville,Lyons,439,511
60101100205-LYO,60101100205,601011002,Brighton - Pontville,Lyons,328,372
60101100209-LYO,60101100209,601011002,Brighton - Pontville,Lyons,412,464
60101100210-LYO,60101100210,601011002,Brighton - Pontville,Lyons,349,375
60101100211-LYO,60101100211,601011002,Brighton - Pontville,Lyons,883,1036
60101100212-LYO,60101100212,601011002,Brighton - Pontville,Lyons,580,695
60101100213-LYO,60101100213,601011002,Brighton - Pontville,Lyons,563,643
60101100214-LYO,60101100214,601011002,Brighton - Pontville,Lyons,502,582
60101100301-FRA,60101100301,601011003,Old Beach - Otago,Franklin,0,0
60101100302-LYO,60101100302,601011003,Old Beach - Otago,Lyons,557,593
60101100304-LYO,60101100304,601011003,Old Beach - Otago,Lyons,250,292
60101100305-LYO,60101100305,601011003,Old Beach - Otago,Lyons,236,270
60101100306-LYO,60101100306,601011003,Old Beach - Otago,Lyons,454,506
60101100307-FRA,60101100307,601011003,Old Beach - Otago,Franklin,461,497
60101100308-LYO,60101100308,601011003,Old Beach - Otago,Lyons,455,464
60101100310-LYO,60101100310,601011003,Old Beach - Otago,Lyons,397,411
60101100311-LYO,60101100311,601011003,Old Beach - Otago,Lyons,338,347
60101100312-LYO,60101100312,601011003,Old Beach - Otago,Lyons,706,735
60101100313-LYO,60101100313,601011003,Old Beach - Otago,Lyons,97,96
60102100401-FRA,60102100401,601021004,Bellerive - Rosny,Franklin,2,2
60102100402-FRA,60102100402,601021004,Bellerive - Rosny,Franklin,198,191
60102100403-FRA,60102100403,601021004,Bellerive - Rosny,Franklin,5,5
60102100404-FRA,60102100404,601021004,Bellerive - Rosny,Franklin,390,369
60102100405-FRA,60102100405,601021004,Bellerive - Rosny,Franklin,271,284
60102100406-FRA,60102100406,601021004,Bellerive - Rosny,Franklin,317,307
60102100407-FRA,60102100407,601021004,Bellerive - Rosny,Franklin,271,244
60102100408-FRA,60102100408,601021004,Bellerive - Rosny,Franklin,253,249
60102100409-FRA,60102100409,601021004,Bellerive - Rosny,Franklin,290,310
60102100410-FRA,60102100410,601021004,Bellerive - Rosny,Franklin,342,338
60102100411-FRA,60102100411,601021004,Bellerive - Rosny,Franklin,168,155
60102100412-FRA,60102100412,601021004,Bellerive - Rosny,Franklin,453,429
60102100413-FRA,60102100413,601021004,Bellerive - Rosny,Franklin,330,333
60102100414-FRA,60102100414,601021004,Bellerive - Rosny,Franklin,214,217
