index,name,surname,party,colour,linked,note
ADEL,Steve,GEORGANAS,ALP,#ed0011,TRUE,
ASTN,Alan,TUDGE,LIB,#ed0011,,
BASS,Bridget,ARCHER,LIB,#ed0011,TRUE,
BDGO,Lisa,CHESTERS,ALP,#ed0011,TRUE,
BEAN,David,SMITH,ALP,#ed0011,,
BFLD,Paul,FLETCHER,LIB,#ed0011,,
BLAR,Shayne Kenneth,NEUMANN,ALP,#ed0011,,
BLRT,Catherine,KING,ALP,#ed0011,TRUE,
BLXD,Jason,CLARE,ALP,#ed0011,,
BNKS,David,COLEMAN,LIB,#ed0011,FALSE,
BNLG,John,ALEXANDER,LIB,#ed0011,,
BNNR,Ross,VASTA,LNP,#ed0011,,
BRCE,Julian,HILL,ALP,#ed0011,,
BRDN,Gavin,PEARCE,LIB,#ed0011,,
BRIS,Trevor,EVANS,LNP,#ed0011,TRUE,
BRKR,Tony,PASIN,LIB,#ed0011,FALSE,
BRND,Madeleine,KING,ALP,#ed0011,,
BRTN,Linda,BURNEY,ALP,#ed0011,,
BRWA,Julian,LEESER,LIB,#ed0011,TRUE,
BTHY,Nicolle,FLINT,LIB,#ed0011,,
BURT,Matt,KEOGH,ALP,#ed0011,,
BWMN,Andrew,LAMING,LNP,#ed0011,,
CANB,Alicia,PAYNE,ALP,#ed0011,TRUE,
CGHM,Sharon,BIRD,ALP,#ed0011,,
CGMT,Libby,COKER,ALP,#ed0011,FALSE,
CHFY,Ed,HUSIC,ALP,#ed0011,,
CHSM,Gladys,LIU,LIB,#ed0011,,
CLRE,Andrew,GEE,NAT,#ed0011,FALSE,
CLRK,Andrew,WILKIE,IND,#ed0011,,
CLWL,Maria,VAMVAKINOU,ALP,#ed0011,,
CNNG,Andrew,HASTIE,LIB,#ed0011,FALSE,
COOX,Scott,MORRISON,LIB,#ed0011,,
COWN,Anne,ALY,ALP,#ed0011,,
CPCA,Michelle,LANDRY,LNP,#ed0011,TRUE,
CPER,Ged,KEARNEY,ALP,#ed0011,,
CRIO,Richard,MARLES,ALP,#ed0011,TRUE,
CRTN,Celia,HAMMOND,LIB,#ed0011,,
CSEY,Tony,SMITH,LIB,#ed0011,FALSE,
CWPR,Pat,CONAGHAN,NAT,#ed0011,,
DBLL,Emma,McBRIDE,ALP,#ed0011,,
DEKN,Michael,SUKKAR,LIB,#ed0011,,
DKLY,Peta,MURPHY,ALP,#ed0011,,
DKSN,Peter,DUTTON,LNP,#ed0011,,
DRAK,Melissa,PRICE,LIB,#ed0011,,
DWSN,George,CHRISTENSEN,LNP,#ed0011,,Christensen resigned from the Queensland Liberal National Party (LNP)  7 Apr 2022 to sit as an indepenent (IND).
EDMO,Mike,KELLY,ALP,#ed0011,TRUE,Kelly retired 30 Apr 2020. At subsequent by-election on 24 Aug 2020 Kristy McBain (ALP) elected.
FDDN,Stuart,ROBERT,LNP,#ed0011,,
FFAX,Ted,O'BRIEN,LNP,#ed0011,,
FKLN,Julie,COLLINS,ALP,#ed0011,TRUE,
FLND,Greg,HUNT,LIB,#ed0011,TRUE,
FLYN,Ken,O'DOWD,LNP,#ed0011,,
FNNR,Andrew,LEIGH,ALP,#ed0011,,
FRAS,Daniel,MULINO,ALP,#ed0011,,
FRDE,Bert,VAN MANEN,LNP,#ed0011,TRUE,
FREM,Josh,WILSON,ALP,#ed0011,,
FRRR,Sussan,LEY,LIB,#ed0011,,
FRST,Nola,MARINO,LIB,#ed0011,,
FSHR,Andrew,WALLACE,LNP,#ed0011,,
FWLR,Chris,HAYES,ALP,#ed0011,,
GDST,Tim,WILSON,LIB,#ed0011,,
GIPP,Darren,CHESTER,NAT,#ed0011,TRUE,Chester chose to sit outside the National Part (NAT) room from 26 Sep 2021.
GLBD,Tim,WATTS,ALP,#ed0011,TRUE,
GLMR,Fiona,PHILLIPS,ALP,#ed0011,,
GREY,Rowan,RAMSEY,LIB,#ed0011,,
GRFF,Terri,BUTLER,ALP,#ed0011,,
GROO,John,McVEIGH,LNP,#ed0011,,McVeigh retired 18 Sep 2020. At subsequent by-election on 28 Nov 2020 Garth Hamilton (LNP) elected.
GRTN,Brendan,O'CONNOR,ALP,#ed0011,,
GRWY,Michelle,ROWLAND,ALP,#ed0011,,
GYDL,Anthony,ALBANESE,ALP,#64d915,,
HGHS,Craig,KELLY,LIB,#9c9c9c,,Kelly resigned from Liberal Party (LIB) on 23 Feb 2021. Kelly joined United Australia Party (UAP) on 23 Aug 2021.
HGNS,Katie,ALLEN,LIB,#9c9c9c,,
HKLR,Keith,PITT,LNP,#9c9c9c,,
HMSH,Mark,BUTLER,ALP,#b26c2a,FALSE,
HNTR,Joel,FITZGIBBON,ALP,#1983f7,TRUE,
HOLT,Anthony,BYRNE,ALP,#1983f7,,
HRBT,Phillip,THOMPSON,LNP,#1983f7,FALSE,
HSLK,Ken,WYATT,LIB,#1983f7,,
HTHM,Clare,O'NEIL,ALP,#1983f7,,
HUME,Angus,TAYLOR,LIB,#1983f7,TRUE,
INDI,Helen,HAINES,IND,#1983f7,,
ISAA,Mark,DREYFUS,ALP,#1983f7,TRUE,
JAGA,Kate,THWAITES,ALP,#1983f7,,
KFDS,Matt,THISTLETHWAITE,ALP,#1983f7,,
KNDY,Bob,KATTER,KAP,#1983f7,TRUE,
KOOY,Josh,FRYDENBERG,LIB,#1983f7,,
KSTN,Amanda,RISHWORTH,ALP,#1983f7,FALSE,
LALR,Joanne,RYAN,ALP,#1983f7,,
LCHT,Warren,ENTSCH,LNP,#1983f7,,
LDSY,Melissa,McINTOSH,LIB,#1983f7,,
LGMN,Terry,YOUNG,LNP,#1983f7,,
LLLY,Anika,WELLS,ALP,#1983f7,,
LNGI,Warren,SNOWDON,ALP,#1983f7,,
LTRB,Jason,WOOD,LIB,#1983f7,,
LYNE,David,GILLESPIE,NAT,#1983f7,FALSE,
LYNS,Brian,MITCHELL,ALP,#1983f7,,
MACQ,Susan,TEMPLEMAN,ALP,#1983f7,,
MAKN,Tony,ZAPPIA,ALP,#083cdd,FALSE,
MAYO,Rebekha,SHARKIE,CEN,#083cdd,,
MBYN,Bill,SHORTEN,ALP,#083cdd,,
MCEW,Rob,MITCHELL,ALP,#083cdd,FALSE,
MCNM,Josh,BURNS,ALP,#083cdd,,
MCRF,Angie,BELL,LNP,#083cdd,,
MCTH,Mike,FREELANDER,ALP,#083cdd,,
MELB,Adam,BANDT,GRN,#083cdd,TRUE,
MKLR,Jason,FALINSKI,LIB,#083cdd,TRUE,
MLLE,Anne,WEBSTER,NAT,#083cdd,,
MMHN,Chris,BOWEN,ALP,#083cdd,TRUE,
MNSH,Russell,BROADBENT,LIB,#083cdd,,
MNZS,Kevin,ANDREWS,LIB,#083cdd,FALSE,
MOOR,Ian,GOODENOUGH,LIB,#083cdd,,
MPHS,Karen,ANDREWS,LNP,#083cdd,FALSE,
MRNA,David,LITTLEPROUD,LNP,#083cdd,FALSE,
MRTN,Graham,PERRETT,ALP,#083cdd,TRUE,
MTCH,Alex,HAWKE,LIB,#083cdd,FALSE,
NCHL,Damian,DRUM,NAT,#083cdd,,
NENG,Barnaby,JOYCE,NAT,#083cdd,,
NEWC,Sharon,CLAYDON,ALP,#083cdd,TRUE,
NSYD,Trent,ZIMMERMAN,LIB,#083cdd,TRUE,
OCNR,Rick,WILSON,LIB,#083cdd,TRUE,
OXLE,Milton,DICK,ALP,#083cdd,,
PAGE,Kevin,HOGAN,NAT,#083cdd,,
PATS,Meryl,SWANSON,ALP,#083cdd,,
PKES,Mark,COULTON,NAT,#083cdd,TRUE,
PMTA,Julie,OWENS,ALP,#083cdd,FALSE,
PRCE,Christian,PORTER,LIB,#083cdd,FALSE,
PRTH,Patrick,GORMAN,ALP,#083cdd,TRUE,
PTRI,Luke,HOWARTH,LNP,#083cdd,FALSE,
RCHM,Justine,ELLIOT,ALP,#083cdd,FALSE,
REID,Fiona,MARTIN,LIB,#083cdd,FALSE,
RNKN,Jim,CHALMERS,ALP,#083cdd,,
ROBN,Lucy,WICKS,LIB,#083cdd,TRUE,
RVRA,Michael,McCORMACK,NAT,#083cdd,,
RYAN,Julian,SIMMONDS,LNP,#083cdd,,
SCUL,Andrew,GILES,ALP,#083cdd,,
SHTL,Pat,CONROY,ALP,#083cdd,,
SLMN,Luke John,GOSLING,ALP,#083cdd,FALSE,
SPNC,Nick,CHAMPION,ALP,#083cdd,,Chamption retired 22 Feb 2022. No by-election held due to timing with general election.
STLG,Vince,CONNELLY,LIB,#083cdd,,
STRT,James,STEVENS,LIB,#083cdd,,
SWAN,Steve,IRONS,LIB,#083cdd,TRUE,
SYDN,Tanya,PLIBERSEK,ALP,#008033,TRUE,
TGNY,Ben,MORTON,LIB,#008033,,
WATS,Tony,BURKE,ALP,#008033,TRUE,
WDBY,Llew,O'BRIEN,LNP,#008033,TRUE,O'Brien chose to sit outside the National Party (NAT) room between 10 Feb 2020 and 7 Dec 2020.
WGAH,Zali,STEGGALL,IND,#008033,,
WGHT,Scott,BUCHHOLZ,LNP,#008033,,
WHLM,Stephen,JONES,ALP,#008033,,
WLLS,Peter,KHALIL,ALP,#008033,TRUE,
WNNN,Dan,TEHAN,LIB,#008033,FALSE,
WRWA,Anne Maree,STANLEY,ALP,#008033,,
WWTH,Dave,SHARMA,LIB,#ff6300,,
