index,name,surname,party,colour,note
ADEL,Steve,GEORGANAS,ALP,#ed0011,
ASTN,Mary,DOYLE,ALP,#ed0011,
BASS,Jess,TEESDALE,ALP,#ed0011,
BDGO,Lisa,CHESTERS,ALP,#ed0011,
BEAN,David,SMITH,ALP,#ed0011,
BFLD,Nicolette,BOELE,IND,#9c9c9c,
BLAR,Shayne,NEUMANN,ALP,#ed0011,
BLRT,Catherine,KING,ALP,#ed0011,
BLWK,Trish,COOK,ALP,#ed0011,
BLXD,Jason,CLARE,ALP,#ed0011,
BNKS,Zhi,SOON,ALP,#ed0011,
BNLG,Jerome,LAXALE,ALP,#ed0011,
BNNR,Kara,COOK,ALP,#ed0011,
BRCE,Julian,HILL,ALP,#ed0011,
BRDN,Anne,URQUHART,ALP,#ed0011,
BRIS,Madonna,JARRETT,ALP,#ed0011,
BRKR,Tony,PASIN,LIB,#083cdd,
BRND,Madeleine,KING,ALP,#ed0011,
BRTN,Ash,AMBIHAIPAHAR,ALP,#ed0011,
BRWA,Julian,LEESER,LIB,#083cdd,
BTHY,Louise,MILLER-FROST,ALP,#ed0011,
BURT,Matt,KEOGH,ALP,#ed0011,
BWMN,Henry,PIKE,LNP,#1983f7,
CANB,Alicia,PAYNE,ALP,#ed0011,
CGHM,Alison,BYRNES,ALP,#ed0011,
CGMT,Libby,COKER,ALP,#ed0011,
CHFY,Ed,HUSIC,ALP,#ed0011,
CHSM,Carina,GARLAND,ALP,#ed0011,
CLRE,Andrew,GEE,IND,#9c9c9c,
CLRK,Andrew,WILKIE,IND,#9c9c9c,
CLWL,Basem,ABDO,ALP,#ed0011,
CNNG,Andrew,HASTIE,LIB,#083cdd,
COOK,Simon,KENNEDY,LIB,#083cdd,
COWN,Anne,ALY,ALP,#ed0011,
CPCA,Michelle,LANDRY,LNP,#1983f7,
CPER,Ged,KEARNEY,ALP,#ed0011,
CRIO,Richard,MARLES,ALP,#ed0011,
CRTN,Kate,CHANEY,IND,#9c9c9c,
CSEY,Aaron,VIOLI,LIB,#083cdd,
CWPR,Pat,CONAGHAN,NAT,#008033,
DBLL,Emma,McBRIDE,ALP,#ed0011,
DEKN,Matt,GREGG,ALP,#ed0011,
DKLY,Jodie,BELYEA,ALP,#ed0011,
DKSN,Ali,FRANCE,ALP,#ed0011,
DRAK,Melissa,PRICE,LIB,#083cdd,
DWSN,Andrew,WILLCOX,LNP,#1983f7,
EDMO,Kristy,McBAIN,ALP,#ed0011,
FDDN,Cameron,CALDWELL,LNP,#1983f7,
FFAX,Ted,O'BRIEN,LNP,#1983f7,
FKLN,Julie,COLLINS,ALP,#ed0011,
FLND,Zoe,McKENZIE,LIB,#083cdd,
FLYN,Colin,BOYCE,LNP,#1983f7,
FNNR,Andrew,LEIGH,ALP,#ed0011,
FRDE,Rowan,HOLZBERGER,ALP,#ed0011,
FREM,Josh,WILSON,ALP,#ed0011,
FRRR,Sussan,LEY,LIB,#083cdd,
FRSR,Daniel,MULINO,ALP,#ed0011,
FRST,Ben,SMALL,LIB,#083cdd,
FSHR,Andrew,WALLACE,LNP,#1983f7,
FWLR,Dai,LE,IND,#9c9c9c,
GDST,Tim,WILSON,LIB,#083cdd,
GIPP,Darren,CHESTER,NAT,#008033,
GLBD,Tim,WATTS,ALP,#ed0011,
GLMR,Fiona,PHILLIPS,ALP,#ed0011,
GREY,Tom,VENNING,LIB,#083cdd,
GRFF,Renee,COFFEY,ALP,#ed0011,
GROO,Garth,HAMILTON,LNP,#1983f7,
GRTN,Alice,JORDAN-BAIRD,ALP,#ed0011,
GRWY,Michelle,ROWLAND,ALP,#ed0011,
GYDL,Anthony,ALBANESE,ALP,#ed0011,
HGHS,David,MONCRIEFF,ALP,#ed0011,
HKLR,David,BATT,LNP,#1983f7,
HMSH,Mark,BUTLER,ALP,#ed0011,
HNTR,Dan,REPACHOLI,ALP,#ed0011,
HOLT,Cassandra,FERNANDO,ALP,#ed0011,
HRBT,Phillip,THOMPSON,LNP,#1983f7,
HSLK,Tania,LAWRENCE,ALP,#ed0011,
HTHM,Clare,O'NEIL,ALP,#ed0011,
HUME,Angus,TAYLOR,LIB,#083cdd,
HWKE,Sam,RAE,ALP,#ed0011,
INDI,Helen,HAINES,IND,#9c9c9c,
ISAC,Mark,DREYFUS,ALP,#ed0011,
JAGA,Kate,THWAITES,ALP,#ed0011,
KFDS,Matt,THISTLETHWAITE,ALP,#ed0011,
KNDY,Bob,KATTER,KAP,#b26c2a,
KOOY,Monique,RYAN,IND,#9c9c9c,
KSTN,Amanda,RISHWORTH,ALP,#ed0011,
LALR,Joanne,RYAN,ALP,#ed0011,
LCHT,Matt,SMITH,ALP,#ed0011,
LDSY,Melissa,McINTOSH,LIB,#083cdd,
LGMN,Terry,YOUNG,LNP,#1983f7,
LLLY,Anika,WELLS,ALP,#ed0011,
LNGI,Marion,SCRYMGOUR,ALP,#ed0011,
LTRB,Jason,WOOD,LIB,#083cdd,
LYNE,Alison,PENFOLD,NAT,#008033,
LYNS,Rebecca,WHITE,ALP,#ed0011,
MACQ,Susan,TEMPLEMAN,ALP,#ed0011,
MAKN,Tony,ZAPPIA,ALP,#ed0011,
MAYO,Rebekha,SHARKIE,CEN,#ff6300,
MBYN,Jo,BRISKEY,ALP,#ed0011,
MCEW,Rob,MITCHELL,ALP,#ed0011,
MCNM,Josh,BURNS,ALP,#ed0011,
MCRF,Angie,BELL,LNP,#1983f7,
MCTH,Mike,FREELANDER,ALP,#ed0011,
MELB,Sarah,WITTY,ALP,#ed0011,
MKLR,Sophie,SCAMPS,IND,#9c9c9c,
MLLE,Anne,WEBSTER,NAT,#008033,
