index,division,state,namesake,created,abolished,isfed,ispm,iscol,isfem,isind,isgeo,isaus
ADEL,Adelaide,South Australia,"City of Adelaide, est. 1836",02/10/2003,,TRUE,,,,,TRUE,
ASTN,Aston,Victoria,"Matilda 'Tilly' Ann Aston, 1873–1947",14/09/1984,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
BASS,Bass,Tasmania,"George Bass, 1771–1803",02/10/2003,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
BDGO,Bendigo,Victoria,"City of Bendigo, est. 1851",26/09/2000,,TRUE,,,,,TRUE,TRUE
BEAN,Bean,Australian Capital Territory,"Charles Edwin Woodrow Bean, 1879–1968",13/07/2018,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
BFLD,Bradfield,New South Wales,"Dr John Job Crew Bradfield CMG, 1867–1943",11/05/2049,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
BLAR,Blair,Queensland,"Harold Blair AM, 1924–76",10/12/1997,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
BLRT,Ballarat,Victoria,"City of Ballarat, est. 1838",26/09/2000,,TRUE,,,,,TRUE,TRUE
BLXD,Blaxland,New South Wales,"Gregory Blaxland, 1778–1853",11/05/2049,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
BNKS,Banks,New South Wales,"Sir Joseph Banks, 1743–1820",11/05/2049,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
BNLG,Bennelong,New South Wales,"Woollarawarre Bennelong, c.1764–1813",11/05/2049,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
BNNR,Bonner,Queensland,"Neville Thomas Bonner AO, 1922–99",25/11/2003,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
BRCE,Bruce,Victoria,"Rt Hon. Lord Stanley Melbourne Bruce CH MC, 1883–1967",10/08/1955,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
BRDN,Braddon,Tasmania,"Sir Edward Nicholas Coventry Braddon KCMG, 1829–1904",30/08/1955,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
BRIS,Brisbane,Queensland,"City of Brisbane, est. 1825",28/12/2000,,TRUE,,,,,TRUE,FALSE
BRKR,Barker,South Australia,"Capt. Collet Barker, 1784–1831",02/10/2003,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
BRND,Brand,Western Australia,"Sir David Brand KCMG, 1912–79",31/08/1984,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
BRTN,Barton,New South Wales,"Rt Hon. Sir Edmund Barton GCMG KC, 1849–1920",13/09/2022,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
BRWA,Berowra,New South Wales,"Berowra Creek and surrounds/Perrara, Darug Country",21/11/1968,,FALSE,,,,,TRUE,TRUE
BTHY,Boothby,South Australia,"William Robinson Boothby CMG, 1829–1903",02/10/2003,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
