Suburb,Pronunciation,LGA,Postcode
Abbotsford,æb·@ts·f@d,City of Yarra,3067
Aberfeldie,æb·@·fehl·dee,City of Moonee Valley,3040
Aintree,ayn·tree,City of Melton,3336
Airport West,eh@·pawt·west,City of Moonee Valley,3042
Albanvale,ælb·@n·vayl,City of Brimbank,3021
Albert Park,ælb·@t·pahk,City of Port Phillip,3206
Albion,ælb·ee·@n,City of Brimbank,3020
Alphington,ælf·ihñ·t@n,City of Darebin,3078
Altona,æl·toh·n@,City of Hobsons Bay,3018
Altona Meadows,æl·toh·n@·mehd·ohz,City of Hobsons Bay,3028
Altona North,æl·toh·n@·naw+,City of Hobsons Bay,3025
Anakie,æn·@·kee,City of Greater Geelong,3213
Ardeer,ah·dee@,City of Brimbank,3022
Armadale,ahm·@·dayl,City of Stonnington,3143
Armstrong Creek,ahm·s¢røñ·kreek,City of Greater Geelong,3217
Arthurs Creek,ah+·@z·kreek,Shire of Nillumbik,3099
Arthurs Seat,ah+·@z·seet,Shire of Mornington Peninsula,3936
Ascot Vale,æsk·øt·vayl,City of Moonee Valley,3032
Ashburton,æ$·bœt·@n,City of Boroondara,3147
Ashwood,æ$·wuud,City of Monash,3147
Aspendale,æs·p@n·dayl,City of Kingston,3195
Aspendale Gardens,æs·p@n·dayl·gah·d@nz,City of Kingston,3195
Attwood,æt·wuud,City of Hume,3049
Avalon,æv·@·løñ,City of Greater Geelong,3212
Avondale Heights,æv·@n·dayl·hiyts,City of Moonee Valley,3034
Avonsleigh,ayv·@nz·lee,Shire of Cardinia,3782
Bacchus Marsh,bæk·@s·mah$,Shire of Moorabool,3340
Badger Creek,bæj·@·kreek,Shire of Yarra Ranges,3777
Balaclava,bæl·@·klah·v@,City of Port Phillip,3183
Ballan,buh·læn,Shire of Moorabool,3342
Balliang,bæl·ee·æñ,Shire of Moorabool,3340
Balliang East,bæl·ee·æñ·eest,Shire of Moorabool,3340
Balnarring,bæl·næ·rihñ,Shire of Mornington Peninsula,3926
Balnarring Beach,bæl·næ·rihñ·bee¢,Shire of Mornington Peninsula,3926
Balwyn,baw(l)·w@n,City of Boroondara,3103
Balwyn North,baw(l)·w@n·naw+,City of Boroondara,3104
Bangholme,bæñ·hohm,City of Greater Dandenong,3175
Barwon Heads,bah·w@n·hehdz,City of Greater Geelong,3227
Batesford,bayts·f@d,City of Greater Geelong,3213
Baxter,bækst·@,Shire of Mornington Peninsula,3911
Bayles,baylz,Shire of Cardinia,3981
Bayswater,bayz·waht·@,City of Knox,3153
Bayswater North,bayz·waht·@·naw+,City of Maroondah,3153
Beaconsfield,beek·@nz·feeld,Shire of Cardinia,3807
Beaconsfield Upper,beek·@nz·feeld·uhp@,Shire of Cardinia,3808
Beaumaris,boh·mø·r@s,City of Bayside,3193
Beenak,bee·næk,Shire of Yarra Ranges,3139
Belgrave,behl·grayv,Shire of Yarra Ranges,3160
Belgrave Heights,behl·grayv·hiyts,Shire of Yarra Ranges,3160
Belgrave South,behl·grayv·sow+,Shire of Yarra Ranges,3160
Bell Park,behl·pahk,City of Greater Geelong,3215
Bell Post Hill,behl·pohst·hihl,City of Greater Geelong,3215
Bellarine,behl·@·reen,City of Greater Geelong,3223
Bellbrae,behl·bray,Shire of Surf Coast,3228
Bellfield,behl·feeld,City of Banyule,3081
Bells Beach,behlz·bee¢,Shire of Surf Coast,3228
Belmont,behl·mønt,City of Greater Geelong,3216
Bend Of Islands,behnd·øv·iyl·@ndz,Shire of Nillumbik,3097
Bentleigh,behnt·lee,City of Glen Eira,3204
Bentleigh East,behnt·lee·eest,City of Glen Eira,3165
Berwick,beh·rihk,City of Casey,3806
Beveridge,behv·rihj,City of Whittlesea,3753
Big Pats Creek,bihg·pætz·kreek,Shire of Yarra Ranges,3799
Bittern,biht·@n,Shire of Mornington Peninsula,3918
Black Rock,blæk·røk,City of Bayside,3193
Blackburn,blæk·bœn,City of Whitehorse,3130
Blackburn North,blæk·bœn·naw+,City of Whitehorse,3130
Blackburn South,blæk·bœn·sow+,City of Whitehorse,3130
Blairgowrie,bleh@·gow·ree,Shire of Mornington Peninsula,3942
Blind Bight,bliynd·biyt,City of Casey,3980
Bolinda,b@·lihn·d@,Shire of Macdeon Ranges,3432
Bonbeach,bøn·bee¢,City of Kingston,3196
Boneo,bohn·ee·oh,Shire of Mornington Peninsula,3939
Bonnie Brook,bøn·ee·bruuk,City of Melton,3335
Boronia,b@·rohn·ee·@,City of Knox,3155
Botanic Ridge,b@·tæn·@k·rihj,City of Casey,3977
Box Hill,bøks·hihl,City of Whitehorse,3128
Box Hill North,bøks·hihl·naw+,City of Whitehorse,3129
Box Hill South,bøks·hihl·sow+,City of Whitehorse,3128
Braeside,bray·siyd,City of Kingston,3195
Braybrook,bray·bruuk,City of Maribyrnong,3019
Breakwater,brayk·waw·t@,City of Greater Geelong,3219
Breamlea,brehm·lee,City of Greater Geelong,3227
