Phoneme,IPA,Examples,Pronunciation
uh,ɐ̈,"CUP, LUCK, BLOOD, DONE","kuhp, luhk, bluhd, duhn"
ah,aː,"ARM, FATHER, CALM, SPA","ahm, fah·‡@, kahm, spah"
æ,æ,"CAT, BLACK, HAND, BAG","kæt, blæk, hænd, bæg"
eh,e,"MET, BED, HEAD, SAID","meht, behd, hehd, sehd"
@,ə,"AWAY, CINEMA, FOCUS, UNDER","@·way, sihn·@·m@, foh·k@s, uhn·d@"
œ,ɜː,"NURSE, LEARN, BIRD, WORD","nœs, lœn, bœd, wœd"
ih,ɪ,"HIT, SITTING, GYM, BUSY","hiht, siht·ih£, jihm, bih·zee"
ee,iː,"SEE, HEAT, PIECE, HAPPY","see, heet, pees, hæ·pee"
ø,ɐ,"HOT, ROCK, WANT, COUGH","høt, røk, wønt, køf"
aw,ɔː,"CALL, FOUR, BOUGHT, LAW","cawl, faw, bawt, law"
uu,ʊ,"PUT, COULD, LOOK, WOLF","puut, cuud, luuk, wuulf"
ew,uː,"BLUE, FOOD, JUNE, THREW","blew, fewd, jewn, +rew"
iy,aɪ,"FIVE, EYE, SKY, HEIGHT","fiyv, iy, skiy, hiyt"
ow,aʊ,"NOW, OUT, LOUD, BOUGH","now, owt, lowd, bow"
ay,eɪ,"SAY, EIGHT, NAME, VEIN","say, ayt, naym, vayn"
oh,oʊ,"GO, HOME, ROAD, SOLO","goh, hohm, rohd, søloh"
oi,ɔɪ,"BOY, JOIN, CHOICE, COIN","boi, join, ¢ois, koin"
eh@,eə,"WHERE, AIR, BEAR, SQUARE","weh@, eh@, beh@, skweh@"
ee@,ɪə,"NEAR, HERE, PIER, BEER","nee@, hee@, pee@, bee@"
u@,ʊə,"PURE, TOUR, CURE, LURE","pyu@, tu@, kyu@, lu@"
ow@,aʊə,"OUR, POWER, FLOWER, SOUR","ow@, pow@, flow@, sow@"
oi@,ɔɪə,"ROYAL, LOYAL, EMPLOYER, COYER","roi@l, loi@l, ehm·ploi@, koi@"
